,/isin/CH0012221716,/isin/CH0012138605,/isin/CH0432492467,/isin/AT0000A18XM4,/isin/CH0127480363,/isin/CH1176493729,/isin/CH0531751755,/isin/CH0009002962,/isin/CH0315966322,/isin/CH0002432174,/isin/CH0225173167,/isin/CH0010570767,/isin/CH0210483332,/isin/CH0012142631,/isin/CH0360826991,/isin/CH0012138530,/isin/CH1169151003,/isin/CH0030170408,/isin/CH0010645932,/isin/CH0466642201
2021-12-30,33.0575,43.71,80.47,16.730,169.13,136.881,67.35,2151.37,283.60,441.12,62.87,12412.59,133.35,18.796,334.61,8.2627,68.64,736.489,4740.08,103.08
2022-01-03,32.7944,43.70,80.51,16.595,167.74,142.038,67.64,2155.26,284.57,439.37,63.01,12491.71,132.58,18.586,331.65,8.2720,68.05,728.666,4708.64,102.61
2022-01-04,33.1515,44.09,79.43,17.285,170.41,134.500,68.30,2143.59,278.24,441.51,63.86,12501.60,133.35,18.879,329.68,8.4715,69.27,730.426,4709.62,104.42
2022-01-05,33.4522,44.62,78.61,17.220,179.41,122.597,69.07,2165.26,279.70,451.84,63.96,12521.39,134.61,19.055,336.09,8.5741,70.95,714.781,4672.28,107.19
2022-01-06,33.6307,45.29,77.56,17.270,183.66,120.217,69.74,2184.97,279.21,454.96,64.53,12373.03,138.73,19.271,331.65,8.6207,72.96,724.364,4709.62,107.48
2022-01-07,33.0387,44.68,75.98,16.150,182.57,118.431,69.74,2147.53,282.63,446.58,63.96,11868.61,135.19,18.997,315.88,8.6487,73.01,700.505,4538.65,107.48
2022-01-10,32.8978,44.49,74.25,16.355,177.53,117.241,68.40,2153.44,277.75,448.53,63.34,11809.27,132.29,18.997,308.49,8.6561,71.63,696.985,4502.29,109.10
2022-01-11,31.7608,44.74,71.15,15.710,177.43,110.893,69.16,2157.38,280.19,436.64,61.54,11472.99,128.46,18.659,289.77,8.7661,69.27,669.802,4328.37,108.72
2022-01-12,32.1743,45.73,71.53,16.160,182.87,114.266,69.93,2145.56,278.73,442.88,60.45,11562.01,130.64,18.928,296.17,8.6990,70.85,672.344,4368.66,108.82
2022-01-13,33.0012,45.69,71.47,16.215,185.04,115.059,70.31,2163.29,279.21,450.09,61.26,11532.33,130.50,19.021,305.54,8.7102,71.93,680.753,4397.15,109.77
2022-01-14,32.7474,45.76,70.93,16.080,190.08,111.885,72.22,2169.20,277.75,456.71,62.35,11225.73,129.24,19.295,307.01,8.9321,72.42,653.179,4319.53,111.59
2022-01-17,31.8642,45.81,70.97,16.140,190.97,108.909,71.65,2202.70,277.27,448.72,61.92,11156.50,126.91,19.109,286.32,8.9004,71.49,637.143,4169.19,111.11
2022-01-18,32.0803,46.56,71.71,16.190,199.08,110.695,72.70,2202.70,275.32,456.91,62.06,11156.50,131.51,19.246,297.65,8.6990,71.78,637.339,4210.46,111.68
2022-01-19,31.4977,45.84,71.15,16.000,194.04,108.909,71.27,2179.05,274.83,447.75,60.97,10701.53,129.82,19.329,290.75,8.5815,71.88,630.689,4106.30,111.68
2022-01-20,31.9487,47.24,71.99,15.585,188.90,109.108,71.84,2194.82,277.27,453.01,60.59,10424.60,136.50,19.603,293.22,8.4510,71.58,633.427,4127.92,109.96
2022-01-21,32.3152,46.37,72.47,15.910,183.26,110.100,72.89,2179.05,274.83,466.65,61.07,10305.91,136.64,19.897,303.56,8.5107,72.47,633.232,4118.09,109.58
2022-01-24,31.5541,45.02,70.99,15.410,181.88,107.521,71.36,2177.08,273.85,458.66,59.08,10117.99,130.06,19.383,295.19,8.2794,71.78,627.560,4076.82,107.48
2022-01-25,30.0788,42.53,67.58,14.265,169.92,102.561,69.36,2135.71,268.01,443.07,57.65,9846.00,123.77,18.610,276.46,7.7163,67.06,605.071,3945.16,104.42
2022-01-26,30.2761,43.30,67.92,14.480,169.62,103.950,72.32,2141.62,270.44,447.94,59.08,9999.31,123.96,18.576,281.88,7.6436,66.47,603.506,3968.74,106.90
2022-01-27,30.8775,44.01,69.40,15.060,172.19,105.140,72.99,2108.13,268.98,455.93,59.65,10216.90,128.75,18.992,287.79,7.9941,67.75,606.635,3995.27,109.48
2022-01-28,30.5298,41.29,69.44,15.120,170.02,105.735,72.22,2070.69,270.93,417.74,59.36,10207.01,127.21,19.231,282.87,8.0986,66.13,600.182,4013.94,111.30
2022-01-31,29.2519,40.39,68.86,15.030,162.80,106.330,71.84,2068.72,270.93,406.25,59.22,10444.38,125.95,18.967,277.94,7.9848,64.56,602.724,3751.58,109.96
2022-02-01,29.7969,41.09,70.64,15.360,165.87,108.513,72.89,2090.39,272.88,411.90,60.07,10602.63,128.71,19.065,288.29,8.1676,65.93,611.329,3751.58,110.63
2022-02-02,30.2009,42.67,71.33,15.355,167.64,109.901,73.46,2100.25,275.80,415.79,61.07,10750.98,133.55,19.168,297.65,8.2701,66.43,606.831,3714.24,110.63
2022-02-03,30.6144,42.25,72.35,15.580,167.74,111.092,72.60,2157.38,278.24,416.18,61.07,11057.59,133.50,19.442,298.14,8.2738,66.23,613.480,3801.69,111.68
2022-02-04,29.8627,42.12,70.86,15.210,167.55,109.306,72.03,2116.01,269.47,410.73,60.40,10622.41,130.16,19.368,290.75,8.2794,64.71,600.573,3696.56,112.35
2022-02-07,29.4586,41.83,70.56,15.145,163.39,107.719,71.36,2092.37,273.37,402.35,59.79,10503.72,126.38,19.178,291.74,8.2067,63.38,593.337,3667.08,110.82
2022-02-08,30.1446,42.67,70.82,15.155,164.18,108.314,71.84,2086.45,277.27,402.16,59.93,10197.12,126.24,19.613,294.69,8.3503,62.45,593.141,3630.72,111.68
2022-02-09,30.2949,43.36,70.48,16.520,163.39,104.545,71.94,2068.72,273.85,398.06,60.55,9959.74,126.29,19.217,285.82,8.4771,61.81,580.430,3525.58,113.50
2022-02-10,30.9809,43.91,72.53,17.445,167.15,108.711,72.41,2088.42,271.90,409.17,59.83,10197.12,131.46,19.461,290.26,8.6226,63.18,594.119,3546.22,115.79
2022-02-11,30.9433,44.58,72.15,17.580,169.62,106.330,72.03,2080.54,273.37,413.65,60.12,10167.44,130.01,19.623,289.27,8.0519,63.97,596.466,3579.63,116.17
2022-02-14,30.4828,44.07,71.11,17.020,168.83,103.156,73.18,2084.48,274.83,414.04,60.31,10167.44,128.90,19.564,279.91,8.0296,63.08,587.079,3541.30,116.55
2022-02-15,29.5056,43.75,70.76,16.690,163.30,100.181,73.56,2058.87,272.88,411.12,58.70,9969.63,126.77,16.434,269.56,7.7499,61.22,582.777,3522.64,113.21
2022-02-16,30.3607,45.39,72.25,16.470,167.64,104.148,72.89,2086.45,275.32,420.86,59.74,10019.09,129.24,16.908,277.94,7.8487,62.89,594.119,3597.31,114.07
2022-02-17,30.4171,44.47,73.77,16.555,167.25,102.363,73.75,2080.54,275.32,422.42,63.30,10009.20,127.79,16.791,276.95,7.8804,62.84,594.901,3616.97,114.74
2022-02-18,30.0694,44.12,71.13,16.030,163.99,101.371,75.57,2074.63,273.37,414.82,63.58,9949.85,126.24,16.669,271.53,7.7983,61.22,593.924,3616.97,113.31
2022-02-21,29.7781,44.18,70.24,15.765,161.71,99.189,74.80,2066.75,273.37,407.61,63.68,9900.40,125.22,16.199,268.08,7.7256,60.38,587.470,3586.50,112.06
2022-02-22,29.1203,43.58,69.72,15.490,157.46,98.395,73.37,2052.96,271.42,401.57,61.64,9826.22,124.54,16.043,256.26,7.4869,58.61,580.821,3491.19,110.34
2022-02-23,29.3083,43.21,70.34,15.255,155.78,101.966,73.18,2050.99,273.85,398.65,60.55,9781.71,123.91,16.277,261.18,7.4646,58.17,585.710,3545.24,109.77
2022-02-24,28.8008,42.97,69.76,15.045,157.27,102.760,74.23,2066.75,270.93,392.80,59.12,9850.95,124.16,16.356,258.23,7.3732,57.78,589.817,3580.61,109.87
2022-02-25,28.1525,40.63,68.60,14.355,151.93,104.347,73.37,2033.26,266.06,385.59,58.89,9707.54,116.12,15.451,261.68,7.0226,56.40,578.670,3622.86,106.62
2022-02-28,29.0546,41.88,70.68,14.605,155.29,106.330,73.56,2082.51,269.96,396.89,59.93,9885.56,121.74,16.047,275.97,7.3098,57.78,593.532,3683.78,109.29
2022-03-01,29.2707,40.83,70.88,14.340,151.14,108.314,74.99,2088.42,267.52,397.28,60.12,9667.97,121.11,16.223,274.98,7.2315,55.76,588.057,3784.01,106.81
2022-03-02,28.7445,38.62,70.00,13.545,141.15,110.298,72.03,2135.71,264.60,385.01,57.18,9885.56,112.35,15.920,271.04,6.8063,53.65,592.164,3807.59,100.79
2022-03-03,28.9042,39.45,70.62,13.855,140.17,110.496,72.89,2117.98,259.72,388.32,58.84,9836.11,114.47,16.013,283.36,6.8716,55.47,595.097,3730.95,101.17
2022-03-04,28.6223,39.09,70.44,13.250,128.11,107.719,71.94,2129.80,255.34,373.90,56.71,9667.97,110.94,15.343,266.60,6.8044,55.22,589.426,3731.93,99.93
2022-03-07,27.1376,36.55,68.46,12.410,123.46,107.719,71.27,2064.78,252.41,347.60,53.48,9465.22,104.46,14.742,258.23,6.3718,52.28,568.500,3712.28,97.16
2022-03-08,27.0061,35.54,68.24,11.985,113.67,109.108,69.36,2054.93,256.80,343.12,52.34,9381.15,102.04,14.111,258.72,6.0958,49.57,568.500,3674.94,94.01
2022-03-09,27.6075,36.04,66.09,12.275,114.76,102.165,69.36,1987.94,254.36,347.60,53.39,9400.93,97.53,13.724,256.26,6.1909,48.39,549.531,3470.56,96.68
2022-03-10,28.8478,38.55,68.84,13.025,123.16,108.116,70.41,2045.08,264.11,361.24,56.09,9707.54,109.83,14.996,262.17,6.6329,51.93,539.557,3545.24,102.51
2022-03-11,28.6317,38.23,68.02,12.295,120.69,104.347,69.93,2035.23,270.44,354.61,55.14,9692.70,106.00,14.854,257.24,6.4352,52.37,541.317,3517.72,103.08
2022-03-14,28.8948,38.73,69.02,12.600,123.06,105.934,70.69,2035.23,265.08,357.73,57.27,9702.59,106.78,14.971,262.66,6.5956,53.11,549.726,3465.64,106.14
2022-03-15,29.5150,39.58,68.04,12.670,128.11,106.926,71.74,2041.14,261.67,362.02,58.27,9831.17,104.21,15.314,260.69,6.7709,53.75,557.745,3524.60,109.77
2022-03-16,29.2237,39.38,67.70,12.620,123.66,104.148,70.12,2058.87,260.21,354.22,57.46,10098.21,100.68,15.250,242.95,6.6534,53.21,550.509,3561.94,110.25
2022-03-17,30.5298,40.91,69.98,13.565,132.36,110.893,71.84,2098.28,264.11,370.40,60.21,10691.64,110.80,15.744,260.69,7.0375,56.01,568.892,3634.65,112.25
2022-03-18,30.9057,40.14,71.45,13.450,129.88,112.083,72.13,2104.19,262.65,368.64,59.41,10345.47,112.59,15.769,264.63,6.9704,56.11,576.714,3729.96,113.78
2022-03-21,30.8211,40.69,72.05,13.630,130.97,101.768,72.70,2123.89,267.52,371.76,60.55,10454.27,114.81,16.003,265.62,7.0730,56.26,577.692,3767.30,113.40
2022-03-22,30.8493,40.75,71.65,13.660,133.74,96.312,72.60,2127.83,266.54,377.99,61.16,10711.42,112.39,16.184,271.53,7.0748,56.89,578.083,3733.90,113.97
2022-03-23,30.8211,40.92,71.81,13.695,133.44,97.205,73.85,2104.19,269.47,377.02,62.40,10780.66,114.62,16.106,280.90,7.1960,57.09,569.087,3752.56,115.31
2022-03-24,30.7647,40.74,70.88,13.470,131.07,99.784,73.65,2098.28,266.54,372.93,62.49,10770.77,112.97,16.277,280.90,7.0916,56.50,563.807,3773.20,114.45
2022-03-25,30.1540,40.67,70.50,13.900,128.60,98.594,74.42,2072.66,265.50,368.25,62.92,11037.81,110.60,16.121,266.11,7.0431,55.71,559.896,3814.47,114.07
2022-03-28,29.8627,40.62,70.40,14.210,125.20,97.899,75.09,2080.54,269.00,369.42,62.77,11116.93,110.94,16.003,262.66,7.0468,55.13,548.358,3728.00,115.69
2022-03-29,30.0073,39.79,72.21,14.510,125.40,99.387,74.99,2112.07,270.50,371.18,63.39,11255.40,112.30,16.131,262.17,6.8977,55.03,554.420,3735.00,114.64
2022-03-30,30.3835,41.42,75.10,15.035,134.40,105.735,75.76,2141.62,269.00,382.87,65.24,11433.43,119.99,16.546,274.98,7.1550,56.80,571.434,3800.00,116.17
2022-03-31,29.1875,40.42,74.94,14.620,129.50,106.926,75.85,2155.41,268.50,374.29,65.33,11136.71,117.23,16.228,282.87,7.0151,55.86,565.371,3827.00,115.22
2022-04-01,29.1007,39.39,73.49,14.265,128.4,101.371,76.62,2137.68,272.5,365.14,64.48,10899.34,114.23,15.739,264.63,6.8436,54.44,559.505,3827.0,115.31
2022-04-04,29.2164,38.76,72.99,14.230,127.6,102.165,76.81,2167.23,269.0,361.43,64.48,10998.25,113.41,15.720,256.75,6.9294,54.73,561.656,3805.0,116.65
2022-04-05,29.4479,38.89,73.49,14.780,129.8,106.033,77.57,2194.82,269.5,355.98,64.86,11037.81,116.46,15.876,264.63,6.9928,54.78,564.198,3858.0,115.69
2022-04-06,29.0621,37.47,73.69,13.540,123.8,105.438,78.62,2214.52,271.5,347.79,64.48,11235.62,118.44,15.749,260.69,6.8380,53.90,555.398,3939.0,115.12
2022-04-07,28.4255,37.12,73.51,12.350,116.8,104.049,78.38,2214.52,272.5,345.85,63.68,11275.18,111.67,15.221,243.44,6.7075,52.28,540.926,3907.0,116.36
2022-04-08,28.4544,35.96,74.98,11.900,114.4,103.851,78.05,2222.40,270.0,350.52,63.58,11413.65,110.94,15.133,246.40,6.6441,51.74,541.122,3979.0,115.31
2022-04-11,28.9656,36.86,75.44,11.990,114.4,102.660,78.72,2234.22,273.0,356.37,65.05,11433.43,113.12,15.446,244.43,6.7876,52.52,546.402,4000.0,118.27
2022-04-12,28.2808,36.66,75.16,11.690,114.4,102.859,80.29,2251.95,273.5,359.29,65.14,11354.31,111.28,15.309,239.01,6.8082,52.03,539.166,3961.0,121.33
2022-04-13,28.0204,36.55,74.84,11.900,115.6,99.586,79.91,2222.40,271.5,355.78,65.33,11018.03,112.78,15.221,243.44,6.6702,52.32,538.579,3852.0,120.85
2022-04-14,28.0107,36.20,72.73,11.835,115.2,99.784,78.14,2143.59,269.5,358.90,65.52,10938.90,111.86,15.299,244.43,6.6236,53.06,538.971,3840.0,120.95
2022-04-19,28.3290,37.04,73.11,11.875,115.8,98.554,79.20,2190.88,270.5,363.00,66.38,11077.37,115.68,15.524,244.43,6.6925,53.41,550.900,3899.0,124.01
2022-04-20,28.7438,38.26,74.05,12.215,116.4,96.134,79.96,2198.76,268.5,367.20,67.71,10840.00,115.78,15.583,239.50,6.7858,54.00,546.000,3806.0,122.95
2022-04-21,29.0042,39.00,76.28,12.445,118.0,95.102,80.10,2210.58,267.5,368.40,71.31,10622.41,117.91,15.622,238.00,6.6851,54.63,546.600,3819.0,125.25
2022-04-22,30.4317,39.70,76.78,12.790,122.6,92.841,79.63,2228.31,264.0,380.20,70.60,10840.00,116.65,15.759,242.00,6.6534,56.55,554.400,3857.0,125.44
2022-04-25,29.3804,39.22,74.96,12.465,120.0,90.262,79.24,2216.49,265.5,371.60,70.55,10701.53,113.60,15.416,232.50,6.4930,55.20,558.000,3836.0,123.62
2022-04-26,28.2133,39.13,73.69,12.255,116.2,87.286,78.81,2206.64,262.5,362.40,69.95,10661.97,106.59,15.123,225.50,6.2711,54.20,554.200,3866.0,119.04
2022-04-27,27.8757,38.56,71.45,11.665,111.8,88.199,79.00,2184.97,263.0,351.40,68.10,10523.50,105.37,14.800,214.00,6.1536,52.25,541.600,3788.0,118.27
2022-04-28,27.8081,37.68,71.79,11.715,113.0,85.580,78.96,2177.08,262.0,357.00,68.60,10681.75,107.21,15.974,210.00,5.9914,52.65,544.200,3875.0,118.66
2022-04-29,27.8660,37.90,70.36,11.810,113.2,85.421,79.10,2208.61,266.0,351.60,69.65,10899.34,109.49,16.140,213.50,5.9336,52.70,551.400,3867.0,118.94
2022-05-02,28.5509,38.15,70.10,12.140,115.8,85.800,79.05,2220.43,266.0,355.00,70.95,10840.00,111.81,16.414,213.50,6.2637,53.50,560.000,3895.0,120.37
2022-05-03,27.7310,37.24,69.18,12.045,117.0,82.92,78.38,2232.25,263.5,348.6,68.80,10680.0,108.38,16.238,205.5,6.1052,50.70,553.0,3852.0,117.7
2022-05-04,28.0879,38.18,69.76,12.070,116.8,83.08,78.96,2261.80,266.5,340.2,69.80,10520.0,108.91,16.845,207.0,6.4278,50.10,541.2,3765.0,119.8
2022-05-05,28.0204,38.51,69.12,11.500,116.8,80.32,79.43,2226.34,266.5,341.2,68.70,10300.0,106.05,17.236,208.0,6.4445,51.00,528.6,3773.0,118.8
2022-05-06,28.2229,36.28,69.42,11.290,113.6,79.20,78.81,2232.25,265.5,338.6,67.85,10220.0,104.21,16.933,202.5,6.2618,51.10,534.8,3798.0,117.4
2022-05-09,27.6538,35.75,68.22,11.000,114.4,74.70,79.10,2202.70,267.0,330.4,68.05,10080.0,101.55,16.727,195.4,6.1984,50.40,515.0,3616.0,116.3
2022-05-10,26.8725,33.88,65.10,10.370,110.4,68.15,77.25,2137.68,261.5,323.2,67.20,9750.0,97.44,16.414,179.8,5.9406,48.88,498.2,3457.0,114.5
2022-05-11,27.1908,33.88,64.12,10.510,112.8,68.95,77.30,2155.41,263.5,324.4,67.60,9730.0,98.89,16.639,180.6,5.9292,49.04,514.4,3531.0,115.3
2022-05-12,27.3934,34.48,70.02,10.885,116.0,69.80,78.35,2169.20,266.0,328.0,68.85,9620.0,104.21,16.962,185.0,6.0239,49.28,511.4,3526.0,116.9
2022-05-13,27.2294,34.56,68.74,10.960,116.8,70.65,77.85,2184.97,265.0,326.2,68.15,9850.0,101.70,16.717,184.6,5.9765,49.48,514.8,3580.0,117.2
2022-05-16,27.7985,35.75,71.12,11.345,119.8,73.55,78.45,2226.34,267.0,333.4,69.60,9880.0,103.10,16.972,187.0,6.1602,50.80,529.4,3643.0,118.1
2022-05-17,27.3066,36.21,71.08,11.055,117.4,73.15,78.75,2244.07,264.0,331.8,68.80,9800.0,103.34,16.913,181.6,6.1715,50.25,524.2,3654.0,118.5
2022-05-18,27.9721,36.57,71.48,11.295,118.2,72.55,79.65,2234.22,264.0,336.6,69.25,9810.0,105.28,18.155,186.6,6.3381,51.40,529.4,3622.0,120.0
2022-05-19,27.8274,36.40,70.78,11.135,118.6,69.30,79.10,2157.38,262.0,332.2,69.05,9610.0,102.76,17.637,182.2,6.2851,50.80,522.4,3527.0,120.9
2022-05-20,27.4030,35.17,69.52,11.070,118.2,71.50,78.10,2064.78,256.5,334.0,69.30,9250.0,102.23,17.412,184.4,6.1791,49.74,512.0,3479.0,116.3
2022-05-23,27.5959,35.60,70.30,11.100,117.6,72.20,77.70,2108.13,251.0,334.2,67.90,9300.0,88.83,17.725,187.2,6.2302,50.15,513.4,3508.0,116.9
2022-05-24,28.0011,36.31,70.66,11.300,118.2,71.00,78.95,2129.80,259.0,338.2,69.00,9420.0,89.55,17.774,181.8,6.4366,50.50,519.6,3569.0,119.8
2022-05-25,27.7310,35.50,70.50,11.010,113.6,69.90,79.30,2121.92,252.0,331.0,68.35,9330.0,90.01,17.627,177.2,6.3760,49.50,513.6,3534.0,119.8
2022-05-27,27.7792,35.58,69.80,10.875,114.4,70.10,79.95,2123.89,253.5,334.6,68.40,9210.0,91.77,17.549,178.6,6.3892,50.75,517.0,3475.0,120.8
2022-05-30,28.3194,37.15,71.64,11.395,120.2,73.70,79.95,2119.95,256.5,342.6,68.25,9540.0,100.53,18.097,186.0,6.5937,52.10,531.2,3569.0,121.8
2022-05-31,29.0138,37.33,72.86,11.800,124.0,76.75,78.25,2121.92,253.0,351.8,68.80,9770.0,103.49,18.165,191.6,6.7149,53.55,535.8,3656.0,120.4
2022-06-01,28.3387,37.29,71.80,11.740,125.0,75.25,75.30,2070.69,251.5,356.4,67.00,9640.0,102.95,17.960,187.8,6.3703,53.90,525.8,3522.0,118.1
2022-06-02,28.5219,36.90,70.96,11.570,128.0,73.50,75.30,2066.75,252.5,365.0,66.60,9510.0,102.86,17.833,183.8,6.3059,53.50,521.4,3479.0,118.2
2022-06-03,29.2453,36.82,73.04,11.625,129.0,75.65,75.25,2064.78,253.5,378.8,66.40,9450.0,105.62,18.234,183.2,6.2984,55.30,531.4,3514.0,118.3
2022-06-07,29.2453,37.08,72.22,11.090,129.6,74.80,75.60,2082.51,252.0,372.4,66.20,9590.0,106.63,18.243,180.0,6.2454,55.00,526.8,3493.0,117.4
2022-06-08,29.4093,37.31,73.28,11.110,129.0,75.20,75.45,2098.28,249.5,375.0,66.30,9600.0,107.80,18.801,182.0,6.3514,55.60,528.8,3496.0,117.8
2022-06-09,29.0235,37.17,73.48,11.035,131.0,76.30,74.45,2088.42,247.0,374.8,66.65,9600.0,107.75,18.801,180.0,6.5918,56.15,526.0,3465.0,116.5
2022-06-10,28.5798,36.85,72.06,10.655,130.8,74.45,74.30,2090.39,248.0,373.4,66.40,9520.0,104.41,18.870,178.4,6.2226,55.80,516.6,3400.0,116.8
2022-06-13,27.7792,35.62,69.30,10.365,127.6,73.30,73.45,2084.48,246.0,364.4,65.70,9510.0,100.58,18.615,168.6,5.8667,53.85,504.4,3334.0,115.1
2022-06-14,26.7954,33.67,66.94,9.360,121.8,70.75,72.45,2070.69,244.5,355.0,65.25,9510.0,97.97,18.410,153.2,5.6604,51.60,490.1,3283.0,112.6
2022-06-15,26.4964,33.50,66.32,9.186,119.6,68.55,72.50,2045.08,240.5,354.0,66.75,9350.0,95.68,18.214,150.4,5.5885,49.90,472.0,3124.0,113.5
2022-06-16,27.0076,34.39,66.28,9.450,116.0,71.00,73.50,2064.78,245.5,358.6,68.65,9460.0,97.68,18.302,155.6,5.5771,50.85,478.7,3178.0,116.3
2022-06-17,25.7729,33.84,62.84,8.576,99.1,70.00,73.30,2056.90,236.5,345.4,67.00,9010.0,93.96,17.627,150.0,5.3045,47.60,459.7,3121.0,111.7
2022-06-20,25.1363,34.06,63.84,8.844,96.4,70.85,74.25,2062.81,238.5,343.0,67.45,9120.0,92.14,17.608,152.0,5.4124,48.42,465.7,3061.0,111.6
2022-06-21,24.8084,34.22,63.72,9.036,94.8,69.20,74.45,2062.81,241.0,340.2,67.25,9180.0,92.59,17.588,149.6,5.4976,48.20,454.2,3036.0,112.4
2022-06-22,25.0399,34.09,63.94,9.148,95.7,68.60,74.05,2052.96,240.0,345.2,67.55,9140.0,94.46,17.862,154.2,5.4730,48.90,456.4,3109.0,111.3
2022-06-23,24.4901,34.04,64.16,8.988,97.8,68.35,74.65,2070.69,239.0,342.0,68.10,9280.0,94.41,17.588,155.4,5.4465,48.38,457.4,3136.0,110.5
2022-06-24,24.0850,33.25,64.74,8.966,95.3,68.90,73.90,2082.51,240.0,339.6,67.70,9410.0,94.83,16.649,153.6,5.1493,47.38,455.4,3155.0,109.0
2022-06-27,24.5576,33.86,66.14,9.334,95.9,71.90,75.10,2114.04,247.5,346.2,70.05,9600.0,98.89,17.334,156.2,5.4143,49.48,477.0,3310.0,112.1
2022-06-28,25.0206,33.34,66.62,9.408,95.6,73.35,75.85,2127.83,247.0,346.8,70.65,9600.0,99.86,17.490,159.8,5.4332,49.36,473.8,3298.0,111.6
2022-06-29,25.1170,33.74,66.44,9.170,96.8,72.20,76.00,2116.01,249.0,342.8,70.15,9480.0,100.68,17.637,159.0,5.4219,48.90,469.6,3317.0,113.2
2022-06-30,24.7794,32.65,66.04,8.758,91.9,68.95,75.70,2141.62,249.5,340.0,68.60,9520.0,99.52,17.216,151.8,5.2969,47.70,467.5,3404.0,111.6
2022-07-01,24.5576,32.44,66.68,8.598,90.5,66.35,74.90,2098.28,252.5,332.0,68.20,9710.0,98.40,17.784,150.4,5.1303,46.96,458.8,3357.0,111.7
2022-07-04,24.3550,32.69,67.42,8.348,92.0,67.45,75.85,2112.07,247.0,334.4,69.20,9690.0,97.05,17.246,147.4,5.1341,46.88,458.2,3388.0,112.1
2022-07-05,24.6637,32.58,67.96,7.692,92.7,66.20,77.10,2153.44,250.0,336.2,68.40,9740.0,97.73,17.373,140.0,5.2515,47.14,468.8,3443.0,112.3
2022-07-06,24.2007,31.51,67.84,7.330,88.5,68.55,77.85,2147.53,250.0,327.4,68.75,9670.0,93.79,17.050,139.8,5.0224,46.14,465.4,3462.0,106.4
2022-07-07,24.5094,32.29,69.04,7.340,87.5,70.20,77.45,2157.38,251.5,328.2,69.65,9690.0,95.16,16.835,141.8,5.0243,47.00,477.1,3484.0,106.7
2022-07-08,25.2907,33.15,69.56,7.656,93.5,71.90,78.65,2147.53,251.5,341.8,69.45,9910.0,95.92,17.412,144.2,5.1341,48.72,481.6,3494.0,110.3
2022-07-11,25.5607,33.50,70.10,7.908,98.5,70.10,80.00,2149.50,251.5,347.4,72.30,9960.0,98.99,17.539,147.0,5.2458,49.78,478.0,3446.0,112.0
